iter	Passed	Remaining
562	109171	84738
563	109317	84508
564	109463	84277
565	109617	84053
566	109770	83828
567	109926	83605
568	110082	83383
569	110234	83159
570	110368	82921
571	110515	82693
572	110650	82456
573	110808	82237
574	110947	82004
575	111079	81766
576	111228	81541
577	111373	81313
578	111517	81085
579	111659	80856
580	111798	80625
581	111945	80400
582	112083	80169
583	112231	79945
584	112382	79724
585	112530	79500
586	112681	79280
587	112832	79059
588	112972	78831
589	113114	78605
590	113259	78380
591	113413	78163
592	113564	77944
593	113708	77720
594	113859	77501
595	114011	77283
596	114159	77062
597	114320	76850
598	114462	76626
599	114603	76402
600	114743	76177
601	114891	75957
602	115039	75739
603	115183	75517
604	115314	75288
605	115470	75074
606	115602	74846
607	115741	74622
608	115882	74401
609	116044	74192
610	116254	74014
611	116400	73796
612	116550	73580
613	116701	73365
614	116844	73146
615	116988	72928
616	117129	72707
617	117268	72486
618	117411	72267
619	117561	72054
620	117673	71816
621	117817	71599
622	117954	71378
623	118103	71165
624	118240	70944
625	118375	70722
626	118504	70498
627	118653	70285
628	118801	70072
629	118938	69852
630	119082	69638
631	119216	69417
632	119352	69197
633	119500	68985
634	119644	68772
635	119795	68562
636	119941	68349
637	120096	68142
638	120237	67927
639	120377	67712
640	120526	67502
641	120674	67292
642	120820	67080
643	120961	66866
644	121106	66655
645	121249	66443
646	121387	66228
647	121534	66018
648	121671	65803
649	121780	65574
650	121924	65363
651	122074	65156
652	122219	64946
653	122364	64737
654	122501	64523
655	122639	64311
656	122791	64105
657	122923	63890
658	123072	63684
659	123216	63475
660	123356	63264
661	123508	63060
662	123653	62852
663	123784	62637
664	123911	62421
665	124057	62214
666	124186	62000
667	124320	61787
668	124448	61573
669	124594	61367
670	124733	61158
671	124868	60947
672	125035	60752
673	125200	60557
674	125339	60348
675	125486	60144
676	125622	59935
677	125756	59725
678	125904	59521
679	126040	59312
680	126194	59112
681	126341	58910
682	126504	58714
683	126621	58497
684	126766	58294
685	126930	58099
686	127087	57901
687	127229	57697
688	127384	57498
689	127531	57296
690	127664	57088
691	127815	56888
692	127955	56684
693	128107	56485
694	128244	56279
695	128391	56078
696	128540	55879
697	128674	55672
698	128810	55467
699	128956	55267
700	129086	55059
701	129218	54853
702	129360	54651
703	129505	54451
704	129650	54250
705	129773	54041
706	129915	53840
707	130046	53635
708	130176	53429
709	130308	53224
710	130531	53057
711	130651	52847
712	130785	52644
713	130921	52441
714	131075	52246
715	131235	52054
716	131384	51857
717	131528	51658
718	131688	51466
719	131841	51271
720	131996	51077
721	132150	50883
722	132313	50692
723	132448	50491
724	132611	50301
725	132723	50091
726	132863	49892
727	133001	49693
728	133150	49497
729	133314	49307
730	133422	49097
731	133568	48902
732	133729	48711
733	133877	48516
734	134027	48322
735	134177	48129
736	134329	47935
737	134485	47744
738	134634	47550
739	134774	47353
740	134903	47152
741	135099	46975
742	135253	46783
743	135413	46594
744	135572	46404
745	135721	46210
746	135875	46019
747	136045	45833
748	136198	45641
749	136345	45448
750	136505	45259
751	136666	45070
752	136798	44872
753	136927	44674
754	137062	44477
755	137219	44287
756	137367	44095
757	137531	43908
758	137683	43717
759	137842	43529
760	137997	43339
761	138153	43150
762	138317	42963
763	138489	42779
764	138647	42591
765	138803	42402
766	138943	42208
767	139084	42015
768	139240	41826
769	139373	41631
770	139538	41445
771	139688	41255
772	139844	41066
773	139998	40878
774	140154	40689
775	140314	40503
776	140475	40316
777	140616	40124
778	140777	39938
779	140924	39747
780	141054	39552
781	141191	39360
782	141340	39170
783	141507	38986
784	141669	38801
785	141818	38612
786	141973	38424
787	142142	38241
788	142300	38055
789	142449	37866
790	142597	37677
791	142771	37495
792	142923	37307
793	143065	37117
794	143201	36926
795	143335	36734
796	143482	36545
797	143630	36357
798	143783	36170
799	143935	35983
800	144092	35798
801	144257	35614
802	144424	35431
803	144590	35248
804	144767	35067
805	144919	34881
806	145056	34691
807	145198	34502
808	145346	34315
809	145576	34147
810	145738	33963
811	145893	33778
812	146039	33590
813	146193	33405
814	146352	33221
815	146513	33037
816	146648	32847
817	146809	32664
818	146953	32476
819	147099	32290
820	147235	32101
821	147378	31914
822	147526	31728
823	147672	31541
824	147823	31356
825	147987	31174
826	148130	30987
827	148296	30805
828	148449	30621
829	148602	30436
830	148767	30254
831	148912	30068
832	149060	29883
833	149200	29697
834	149334	29509
835	149494	29326
836	149650	29143
837	149809	28960
838	149948	28774
839	150108	28592
840	150271	28410
841	150417	28225
842	150569	28042
843	150719	27858
844	150886	27677
845	151047	27495
846	151178	27308
847	151312	27121
848	151462	26938
849	151613	26755
850	151761	26571
851	151911	26388
852	152082	26208
853	152243	26027
854	152399	25845
855	152573	25666
856	152729	25484
857	152877	25301
858	153052	25122
859	153193	24938
860	153329	24753
861	153477	24570
862	153621	24387
863	153785	24206
864	153928	24023
865	154103	23845
866	154260	23663
867	154410	23481
